#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
1.5290299654006958	9.09492620104757e-12	2.210727870839875e-14
1.5331599712371826	9.390549102206158e-12	2.3814681983694817e-14
1.5372799634933472	9.6184275821809e-12	2.3509878871691252e-14
1.5413999557495117	9.90246773469039e-12	4.9717818566535205e-14
1.5455100536346436	1.0102280123547303e-11	4.934536801523212e-14
1.5496200323104858	1.0399066156796533e-11	2.7641919040700437e-14
1.5537199974060059	1.0622145524274984e-11	1.5073163054627088e-14
1.5578099489212036	1.0777479603207851e-11	4.9687027224836616e-14
1.561900019645691	1.0812475914612207e-11	4.193039416112293e-14
1.5659799575805664	1.0985797341267478e-11	3.348839963473148e-14
1.5700600147247314	1.1226471141601024e-11	5.4457801386843113e-14
1.5741300582885742	1.1479659237090267e-11	3.301330563088012e-14
1.5781899690628052	1.146362692272529e-11	2.2552557152506758e-14
1.5822399854660034	1.1302720911987585e-11	4.630897512789174e-14
1.586300015449524	1.122549449228405e-11	5.3548772404113376e-14
1.5903400182724	1.1214741808818207e-11	2.5736855544964896e-14
1.5943800210952759	1.1434104531249378e-11	5.124808861783556e-14
1.5984100103378296	1.1780941673589229e-11	4.9933076743486834e-14
1.602429986000061	1.1802545919759044e-11	2.417168604217177e-14
1.6064499616622925	1.1800200573619524e-11	4.061313934352988e-14
1.6104700565338135	1.1604981732526998e-11	3.923263149356766e-14
1.6144700050354004	1.1600485329277266e-11	2.6284970565133153e-14
1.6184699535369873	1.1823564696755717e-11	4.278311916978278e-14
1.6224600076675415	1.1875961151985859e-11	5.2500826629902145e-14
1.6264499425888062	1.1778108002791221e-11	4.400575024277216e-14
1.630429983139038	1.1817600717445309e-11	5.333487964427272e-14
1.6344000101089478	1.1877427860684797e-11	3.5589759627861414e-14
1.6383700370788574	1.2090438025746941e-11	6.337957909148192e-14
1.6423300504684448	1.2266593990561958e-11	5.039389993624285e-14
1.6462899446487427	1.2468165389023511e-11	2.1633163874634417e-14
1.650230050086975	1.2643931041056433e-11	1.5585011512125706e-14
1.654170036315918	1.275752246898687e-11	2.9000432833154247e-14
